city,co,humidity,lpg,smoke,temp
Chennai,0.004381060649371,77.9000015258789,0.006997972548971999,0.018556371934466,27.0
Chennai,0.004395041697109,78.4000015258789,0.007014120681008,0.01860211470296,27.0
Chennai,0.004391003954583,78.1999969482422,0.007009458543139,0.018588907540051,27.0
Chennai,0.004349401797742001,78.3000030517578,0.006961353729962,0.018452668594852003,27.0
Bengaluru,0.0028400886071020003,76.1999969482422,0.005114383400977,0.013274836704852,19.7999992370605
Bengaluru,0.0028400886071020003,76.0999984741211,0.005114383400977,0.013274836704852,19.7000007629395
Bengaluru,0.0028400886071020003,76.0999984741211,0.005114383400977,0.013274836704852,19.7999992370605
Bengaluru,0.0028400886071020003,76.1999969482422,0.005114383400977,0.013274836704852,19.7999992370605
Hyderabad,0.004997518776175,51.0,0.007697203969535,0.020543473736897,22.7
Bengaluru,0.0028400886071020003,76.3000030517578,0.005114383400977,0.013274836704852,19.7000007629395
Chennai,0.004451497630813,78.0,0.007079183500130998,0.018786490564424,27.0
Hyderabad,0.005000431058117,51.0,0.007700448546223,0.020552723920459,22.7
Bengaluru,0.0028400886071020003,75.5999984741211,0.005114383400977,0.013274836704852,19.7999992370605
Chennai,0.004341544997156,78.0,0.006952254607111,0.018426905927295,27.0
Hyderabad,0.004997518776175,51.1,0.007697203969535,0.020543473736897,22.7
Bengaluru,0.0028400886071020003,75.3000030517578,0.005114383400977,0.013274836704852,19.7999992370605
Chennai,0.004351368546726,78.5,0.006963630750832,0.018459115963671,27.0
Hyderabad,0.004973087472123001,51.1,0.007669964389622998,0.020465825067639,22.6
Bengaluru,0.0028400886071020003,75.1999969482422,0.005114383400977,0.013274836704852,19.7000007629395
Hyderabad,0.004947440012953001,49.9,0.007641329007601,0.020384217820195,22.5
Hyderabad,0.004987503279799,49.2,0.007686041698749,0.020511652493853,22.4
Chennai,0.004341544997156,77.5999984741211,0.006952254607111,0.018426905927295,27.0
Chennai,0.004302587482354,78.0,0.006907069601024001,0.018299006133198,27.0
Bengaluru,0.0028400886071020003,74.8000030517578,0.005114383400977,0.013274836704852,19.6000003814697
Chennai,0.004322065682468,78.0,0.006929675539274,0.018362986951946,27.0
Bengaluru,0.0028400886071020003,74.8000030517578,0.005114383400977,0.013274836704852,19.6000003814697
